user_id,subscription_plan,tenure_months,monthly_charges,total_charges,num_logins_30d,support_tickets,avg_session_min,features_used,payment_delays,referrals_made,churned,churn_probability,risk_tier,engagement_score,is_high_value,churn_risk_band,revenue_at_risk,at_risk_signal
USER000064,Standard,29,50.86,1474.94,16,9,105.2,12,1,5,0,0.0857,Low,39.36,0,Low,4.36,0
USER000065,Standard,70,70.74,4951.8,46,4,81.8,16,4,0,0,0.0265,Low,42.14,1,Low,1.87,0
USER000066,Basic,43,42.26,1817.18,4,3,69.8,7,4,6,0,0.2837,Medium,24.84,0,Medium,11.99,0
USER000067,Basic,67,42.73,2862.91,22,4,85.3,5,1,2,0,0.2628,Medium,33.99,0,Medium,11.23,0
USER000068,Basic,23,29.76,684.48,29,3,44.3,9,3,6,0,0.0283,Low,25.09,0,Low,0.84,0
USER000069,Basic,42,42.81,1798.02,40,7,75.5,17,3,3,0,0.0498,Low,38.65,0,Low,2.13,0
USER000070,Standard,11,68.52,753.72,10,8,58.4,11,0,4,0,0.065,Low,23.32,0,Low,4.45,0
USER000071,Premium,57,102.92,5866.44,30,0,118.2,16,2,3,0,0.4798,Medium,48.96,1,Medium,49.38,0
USER000072,Basic,24,32.36,776.64,58,9,112.5,12,3,9,0,0.1171,Low,54.55,0,Low,3.79,0
USER000073,Basic,8,42.54,340.32,15,2,64.1,17,3,3,0,0.1333,Low,28.23,0,Low,5.67,0
USER000074,Basic,2,33.96,67.92,32,6,107.7,17,0,1,0,0.6398,High,45.81,0,High,21.73,0
USER000075,Premium,2,92.72,185.44,56,0,119.4,4,1,7,1,0.7237,High,55.12,0,High,67.1,0
USER000076,Standard,32,56.54,1809.28,48,3,49.2,15,1,5,0,0.0726,Low,33.36,0,Low,4.1,0
USER000077,Premium,6,105.89,635.34,48,0,36.4,12,0,0,1,0.4548,Medium,28.72,0,Medium,48.16,0
USER000078,Premium,27,85.38,2305.26,15,2,72.0,13,2,5,0,0.5164,High,30.0,1,High,44.09,0
USER000079,Basic,25,38.12,953.0,18,5,47.7,5,1,5,1,0.2642,Medium,21.71,0,Medium,10.07,0
USER000080,Standard,27,72.57,1959.39,43,4,78.8,9,3,3,0,0.0382,Low,39.24,1,Low,2.77,0
USER000081,Standard,44,65.71,2891.24,54,8,85.9,5,3,0,0,0.0567,Low,43.17,1,Low,3.73,0
USER000082,Standard,62,72.85,4516.7,35,9,45.2,7,3,3,1,0.1912,Low,25.86,1,Low,13.93,0
USER000083,Standard,51,72.04,3674.04,45,9,32.4,7,1,1,0,0.2748,Medium,24.82,1,Medium,19.8,0
USER000084,Premium,2,110.45,220.9,51,9,43.7,7,2,0,1,0.85,Critical,29.91,0,Critical,93.88,0
USER000085,Basic,20,30.53,610.6,14,5,31.5,11,2,2,0,0.2702,Medium,16.55,0,Medium,8.25,0
USER000086,Basic,47,40.16,1887.52,31,5,84.8,9,0,5,0,0.1283,Low,37.54,0,Low,5.15,0
USER000087,Standard,37,62.91,2327.67,52,7,44.1,7,1,1,0,0.2543,Medium,30.63,1,Medium,16.0,0
USER000088,Basic,62,43.72,2710.64,36,7,23.1,18,3,5,0,0.2239,Medium,22.13,0,Medium,9.79,0
USER000089,Premium,6,91.69,550.14,42,1,66.8,9,4,9,0,0.4762,Medium,36.24,0,Medium,43.66,0
USER000090,Standard,16,49.87,797.92,30,1,104.7,11,2,2,0,0.2202,Medium,43.71,0,Medium,10.98,0
USER000091,Standard,38,74.93,2847.34,16,3,56.5,3,1,9,0,0.2717,Medium,23.95,1,Medium,20.36,0
USER000092,Basic,8,43.0,344.0,33,3,84.9,16,3,0,0,0.2775,Medium,39.27,0,Medium,11.93,0
USER000093,Basic,47,42.83,2013.01,6,8,118.4,12,3,6,0,0.1437,Low,40.52,0,Low,6.15,0
USER000094,Basic,33,48.47,1599.51,51,3,37.6,2,2,6,0,0.0454,Low,28.28,0,Low,2.2,0
USER000095,Basic,2,36.64,73.28,26,1,77.7,12,0,1,1,0.5569,High,34.51,0,High,20.4,0
USER000096,Basic,6,32.16,192.96,24,2,85.5,7,4,5,0,0.0088,Low,35.55,0,Low,0.28,0
USER000097,Standard,56,64.1,3589.6,36,2,23.9,1,3,5,0,0.2599,Medium,19.47,1,Medium,16.66,0
USER000098,Basic,32,43.67,1397.44,22,5,97.3,7,3,1,0,0.0776,Low,37.79,0,Low,3.39,0
USER000099,Standard,60,72.97,4378.2,49,9,70.7,18,2,7,1,0.2106,Medium,40.31,1,Medium,15.37,0
USER000100,Standard,5,61.92,309.6,6,6,3.3,6,4,6,1,0.6246,High,4.99,0,High,38.68,0
USER000101,Standard,7,74.64,522.48,11,4,37.6,17,3,1,0,0.1559,Low,18.68,0,Low,11.64,0
USER000102,Standard,1,53.14,53.14,8,8,105.0,7,1,7,0,0.548,High,36.2,0,High,29.12,0
USER000103,Standard,18,72.64,1307.52,13,3,91.0,10,1,2,0,0.0091,Low,34.1,1,Low,0.66,0
USER000104,Basic,65,40.63,2640.95,48,5,20.8,9,2,0,0,0.1551,Low,22.94,0,Low,6.3,0
USER000105,Premium,59,87.68,5173.12,5,0,25.6,14,3,8,0,0.3761,Medium,13.78,1,Medium,32.98,0
USER000106,Basic,14,32.97,461.58,59,8,119.0,5,1,7,0,0.1367,Low,55.3,0,Low,4.51,0
USER000107,Standard,12,57.59,691.08,52,1,19.9,2,2,4,0,0.1111,Low,23.27,0,Low,6.4,0
USER000108,Basic,26,38.85,1010.1,9,8,77.8,11,0,2,0,0.0704,Low,28.64,0,Low,2.74,0
USER000109,Standard,49,73.07,3580.43,3,5,101.1,10,4,6,1,0.2001,Medium,34.33,1,Medium,14.62,1
USER000110,Premium,23,101.94,2344.62,17,9,7.2,2,0,3,0,0.4031,Medium,8.06,1,Medium,41.09,0
USER000111,Standard,31,65.53,2031.43,19,9,60.4,11,2,2,0,0.0991,Low,26.32,1,Low,6.49,0
USER000112,Standard,34,53.88,1831.92,13,5,28.2,15,0,7,0,0.0554,Low,16.56,0,Low,2.98,0
USER000113,Basic,67,44.75,2998.25,20,2,99.3,18,2,1,0,0.1571,Low,40.29,0,Low,7.03,0
USER000114,Basic,62,47.31,2933.22,16,5,96.0,9,2,4,0,0.0759,Low,36.3,0,Low,3.59,0
USER000115,Standard,12,68.94,827.28,24,7,77.2,2,4,4,0,0.0411,Low,31.46,0,Low,2.83,0
USER000116,Standard,1,78.4,78.4,57,4,66.7,3,0,3,0,0.4844,Medium,38.61,0,Medium,37.98,0
USER000117,Standard,51,68.66,3501.66,47,6,83.6,9,1,1,0,0.1506,Low,41.48,1,Low,10.34,0
USER000118,Premium,13,94.32,1226.16,50,5,53.0,7,4,3,1,0.3949,Medium,33.1,1,Medium,37.25,0
USER000119,Basic,31,45.44,1408.64,43,5,46.0,5,4,0,0,0.0944,Low,28.2,0,Low,4.29,0
USER000120,Basic,53,48.48,2569.44,15,7,14.4,1,3,0,0,0.0181,Low,9.32,0,Low,0.88,0
USER000121,Premium,32,126.07,4034.24,14,7,61.3,8,3,7,0,0.4202,Medium,25.19,1,Medium,52.97,0
USER000122,Standard,33,63.89,2108.37,6,5,88.2,2,3,9,1,0.2163,Medium,30.06,1,Medium,13.82,0
USER000123,Standard,11,70.39,774.29,2,4,89.2,15,4,8,0,0.2744,Medium,31.76,0,Medium,19.32,1
USER000124,Standard,66,65.6,4329.6,6,8,48.5,6,3,6,0,0.0236,Low,18.35,1,Low,1.55,0
USER000125,Standard,27,55.74,1504.98,21,9,45.7,17,4,1,0,0.2727,Medium,23.61,0,Medium,15.2,0
USER000126,Standard,61,71.18,4341.98,38,1,95.3,9,2,4,0,0.1608,Low,43.09,1,Low,11.45,0
USER000127,Standard,52,77.17,4012.84,41,7,35.7,8,3,3,0,0.0574,Low,25.21,1,Low,4.43,0
USER000128,Basic,68,40.16,2730.88,15,5,106.1,9,1,2,0,0.1363,Low,38.83,0,Low,5.47,0
USER000129,Standard,55,53.93,2966.15,20,7,13.7,19,2,7,0,0.1286,Low,14.91,0,Low,6.94,0
USER000130,Basic,25,34.06,851.5,0,0,61.7,14,0,5,1,0.0396,Low,22.81,0,Low,1.35,0
USER000131,Standard,68,58.02,3945.36,46,0,31.9,17,3,1,0,0.0809,Low,27.87,1,Low,4.69,0
USER000132,Standard,41,72.99,2992.59,48,0,101.4,19,4,6,0,0.2061,Medium,50.22,1,Medium,15.04,0
USER000133,Standard,11,56.45,620.95,58,8,5.0,16,2,6,0,0.2785,Medium,22.9,0,Medium,15.72,0
USER000134,Standard,60,55.27,3316.2,31,6,31.6,18,0,1,0,0.23,Medium,22.88,0,Medium,12.71,0
USER000135,Basic,3,32.55,97.65,13,8,80.2,9,2,2,1,0.6377,High,30.16,0,High,20.76,0
USER000136,Basic,58,39.04,2264.32,7,5,60.4,1,2,1,0,0.2504,Medium,21.02,0,Medium,9.78,0
USER000137,Basic,62,29.25,1813.5,20,1,79.4,14,1,5,1,0.2506,Medium,34.02,0,Medium,7.33,0
USER000138,Premium,1,87.27,87.27,13,8,71.3,15,2,4,1,0.85,Critical,28.89,0,Critical,74.18,0
USER000139,Standard,59,74.6,4401.4,57,3,103.3,12,2,4,0,0.0047,Low,51.59,1,Low,0.35,0
USER000140,Basic,52,39.51,2054.52,48,5,118.7,7,4,3,0,0.2501,Medium,52.21,0,Medium,9.88,0
USER000141,Standard,39,76.85,2997.15,46,1,61.4,11,1,9,0,0.0301,Low,36.22,1,Low,2.31,0
USER000142,Premium,29,112.33,3257.57,57,7,67.9,13,1,9,0,0.3712,Medium,41.27,1,Medium,41.7,0
USER000143,Premium,7,127.01,889.07,12,1,45.0,13,2,2,1,0.3176,Medium,20.8,0,Medium,40.34,0
USER000144,Basic,15,40.41,606.15,33,6,20.4,12,4,4,0,0.1028,Low,19.22,0,Low,4.15,0
USER000145,Premium,42,114.34,4802.28,30,8,94.1,1,3,9,1,0.391,Medium,38.53,1,Medium,44.71,0
USER000146,Basic,45,39.03,1756.35,49,2,71.1,7,4,3,0,0.1032,Low,38.53,0,Low,4.03,0
USER000147,Basic,71,40.39,2867.69,8,5,72.9,7,4,8,0,0.1854,Low,26.97,0,Low,7.49,0
USER000148,Standard,57,69.57,3965.49,8,9,34.2,12,4,4,0,0.1761,Low,15.56,1,Low,12.25,0
USER000149,Basic,48,34.39,1650.72,47,7,111.1,13,0,1,1,0.1383,Low,50.43,0,Low,4.76,0
USER000150,Standard,55,67.83,3730.65,45,3,6.0,11,2,5,0,0.0989,Low,18.7,1,Low,6.71,0
USER000151,Basic,4,41.85,167.4,32,7,56.7,13,4,9,1,0.6989,High,30.41,0,High,29.25,0
USER000152,Basic,36,41.2,1483.2,49,0,30.8,8,1,2,0,0.247,Medium,26.74,0,Medium,10.18,0
USER000153,Premium,41,100.09,4103.69,27,1,89.4,2,0,4,0,0.3836,Medium,36.62,1,Medium,38.39,0
USER000154,Premium,48,122.68,5888.64,13,8,30.6,18,0,0,0,0.4751,Medium,16.88,1,Medium,58.29,0
USER000155,Standard,6,56.14,336.84,41,0,82.4,5,4,6,1,0.2625,Medium,39.62,0,Medium,14.74,0
USER000156,Premium,17,123.94,2106.98,51,9,56.0,17,2,5,1,0.4372,Medium,36.1,1,Medium,54.19,0
USER000157,Premium,42,105.06,4412.52,2,0,56.4,15,1,1,1,0.4874,Medium,21.62,1,Medium,51.21,1
USER000158,Standard,9,77.95,701.55,29,3,41.4,1,1,5,0,0.1793,Low,22.52,0,Low,13.98,0
USER000159,Basic,34,44.89,1526.26,27,8,35.2,4,2,0,1,0.1889,Low,19.66,0,Low,8.48,0
USER000160,Standard,35,57.43,2010.05,12,7,8.8,11,4,5,1,0.0148,Low,9.24,1,Low,0.85,0
USER000161,Standard,1,58.94,58.94,20,6,21.6,19,1,5,0,0.6303,High,17.18,0,High,37.15,0
USER000162,Standard,44,76.78,3378.32,30,0,78.6,5,4,5,0,0.202,Medium,35.08,1,Medium,15.51,0
USER000163,Standard,19,74.36,1412.84,42,4,83.2,4,1,4,1,0.2486,Medium,39.36,1,Medium,18.49,0
USER000164,Standard,68,78.72,5352.96,19,8,60.8,12,2,3,1,0.2821,Medium,26.84,1,Medium,22.21,0
USER000165,Basic,15,34.25,513.75,24,8,75.3,13,4,6,1,0.2542,Medium,33.19,0,Medium,8.71,0
USER000166,Basic,9,39.92,359.28,28,0,117.8,13,2,6,0,0.2606,Medium,47.94,0,Medium,10.4,0
USER000167,Standard,13,67.94,883.22,31,5,42.0,8,1,8,0,0.0075,Low,24.8,1,Low,0.51,0
USER000168,Premium,67,82.34,5516.78,41,7,118.4,17,0,5,1,0.4232,Medium,52.02,1,Medium,34.85,0
USER000169,Standard,64,71.07,4548.48,36,9,10.1,1,0,8,0,0.1369,Low,14.93,1,Low,9.73,0
USER000170,Basic,43,30.96,1331.28,31,5,112.3,13,2,1,0,0.0171,Low,46.19,0,Low,0.53,0
USER000171,Basic,22,42.39,932.58,53,5,74.6,4,2,6,0,0.1299,Low,40.18,0,Low,5.51,0
USER000172,Standard,6,73.73,442.38,10,1,81.2,19,2,1,0,0.275,Medium,32.16,0,Medium,20.28,0
USER000173,Standard,43,70.34,3024.62,31,3,12.9,19,3,4,1,0.2239,Medium,18.07,1,Medium,15.75,0
USER000174,Standard,50,50.89,2544.5,6,6,10.3,13,3,6,0,0.0554,Low,8.49,0,Low,2.82,0
USER000175,Basic,21,43.73,918.33,29,3,42.5,9,0,7,0,0.1588,Low,24.65,0,Low,6.94,0
USER000176,Standard,53,54.18,2871.54,10,3,43.6,1,2,2,0,0.1116,Low,17.18,0,Low,6.05,0
USER000177,Standard,27,71.38,1927.26,34,1,90.1,1,0,8,0,0.1929,Low,39.13,1,Low,13.77,0
USER000178,Basic,39,44.69,1742.91,55,8,52.6,12,4,3,1,0.2471,Medium,35.18,0,Medium,11.04,0
USER000179,Basic,69,33.55,2314.95,28,5,92.4,11,3,8,1,0.1985,Low,39.62,0,Low,6.66,0
USER000180,Standard,70,57.18,4002.6,5,7,0.1,7,1,2,0,0.089,Low,3.43,1,Low,5.09,0
USER000181,Basic,65,42.28,2748.2,15,8,37.1,14,2,0,0,0.1425,Low,18.63,0,Low,6.02,0
USER000182,Premium,9,106.89,962.01,14,3,98.5,11,2,4,0,0.3948,Medium,37.05,0,Medium,42.2,0
USER000183,Basic,64,29.45,1884.8,23,1,9.5,3,2,0,0,0.1562,Low,11.25,0,Low,4.6,0
USER000184,Basic,53,29.92,1585.76,47,1,24.1,19,0,9,0,0.1058,Low,26.93,0,Low,3.17,0
USER000185,Premium,57,101.28,5772.96,28,8,26.4,6,4,2,1,0.4668,Medium,17.92,1,Medium,47.28,0
USER000186,Basic,21,48.5,1018.5,35,5,43.5,11,4,9,0,0.1097,Low,27.15,0,Low,5.32,0
USER000187,Standard,67,71.93,4819.31,12,9,39.5,16,1,8,1,0.2247,Medium,19.55,1,Medium,16.16,0
USER000188,Basic,16,42.77,684.32,39,1,100.0,3,0,9,0,0.13,Low,44.1,0,Low,5.56,0
USER000189,Premium,4,104.17,416.68,48,2,37.0,13,0,4,1,0.85,Critical,29.3,0,Critical,88.54,0
USER000190,Basic,57,47.66,2716.62,47,8,73.5,19,2,5,0,0.1722,Low,40.65,0,Low,8.21,0
USER000191,Basic,17,43.56,740.52,25,3,10.8,1,1,8,0,0.0328,Low,12.44,0,Low,1.43,0
USER000192,Standard,3,69.44,208.32,46,7,46.0,5,2,7,1,0.6062,High,29.6,0,High,42.09,0
USER000193,Premium,54,85.19,4600.26,14,0,25.6,13,4,0,1,0.5023,High,15.48,1,High,42.79,0
USER000194,Standard,45,63.72,2867.4,19,5,18.2,16,4,2,0,0.2037,Medium,15.06,1,Medium,12.98,0
USER000195,Standard,57,77.42,4412.94,25,8,68.5,18,1,5,0,0.1124,Low,32.35,1,Low,8.7,0
USER000196,Premium,37,102.79,3803.23,32,9,84.8,13,1,1,0,0.3085,Medium,37.84,1,Medium,31.71,0
USER000197,Standard,1,72.64,72.64,32,2,30.0,16,4,4,1,0.705,High,23.0,0,High,51.21,0
USER000198,Standard,1,59.21,59.21,6,0,104.4,8,1,3,0,0.5688,High,36.02,0,High,33.68,0
USER000199,Basic,25,39.04,976.0,46,2,112.2,1,3,4,0,0.0586,Low,48.86,0,Low,2.29,0
USER000200,Basic,22,30.26,665.72,45,1,34.4,1,1,5,0,0.0406,Low,25.42,0,Low,1.23,0
USER000201,Basic,13,44.16,574.08,27,6,71.7,1,4,9,0,0.0849,Low,31.11,0,Low,3.75,0
USER000202,Standard,58,77.17,4475.86,25,8,116.5,2,1,0,1,0.1079,Low,43.05,1,Low,8.33,0
USER000203,Standard,44,71.81,3159.64,39,3,21.0,18,1,3,0,0.0891,Low,22.6,1,Low,6.4,0
USER000204,Standard,7,75.09,525.63,35,7,98.6,2,3,1,0,0.1716,Low,40.88,0,Low,12.89,0
USER000205,Standard,52,68.06,3539.12,18,9,61.6,19,3,2,0,0.1851,Low,27.98,1,Low,12.6,0
USER000206,Premium,51,127.35,6494.85,39,3,72.0,11,3,8,0,0.3581,Medium,37.0,1,Medium,45.6,0
USER000207,Premium,45,111.92,5036.4,37,2,30.4,12,1,6,1,0.5293,High,24.02,1,High,59.24,0
USER000208,Premium,33,95.52,3152.16,8,0,34.8,18,3,9,0,0.4514,Medium,18.34,1,Medium,43.12,0
USER000209,Basic,58,36.58,2121.64,38,1,26.7,3,2,7,0,0.1616,Low,21.61,0,Low,5.91,0
USER000210,Basic,11,46.61,512.71,19,3,53.5,5,0,6,0,0.0783,Low,24.05,0,Low,3.65,0
USER000211,Standard,13,73.9,960.7,47,9,28.3,16,0,0,0,0.1416,Low,25.89,1,Low,10.46,0
USER000212,Standard,31,53.05,1644.55,5,9,99.1,11,2,8,0,0.0185,Low,34.33,0,Low,0.98,0
USER000213,Standard,34,51.36,1746.24,42,2,53.3,5,4,5,0,0.2793,Medium,30.89,0,Medium,14.34,0
USER000214,Premium,24,99.25,2382.0,1,5,39.4,15,3,8,0,0.2909,Medium,16.42,1,Medium,28.87,1
USER000215,Basic,60,42.48,2548.8,23,4,64.9,5,0,6,0,0.1614,Low,28.57,0,Low,6.86,0
USER000216,Basic,42,48.37,2031.54,50,2,92.2,7,2,2,0,0.2557,Medium,45.06,0,Medium,12.37,0
USER000217,Premium,45,94.38,4247.1,45,4,66.4,9,4,9,0,0.517,High,36.72,1,High,48.79,0
USER000218,Standard,29,57.5,1667.5,12,9,10.2,18,4,0,1,0.1638,Low,10.36,1,Low,9.42,0
USER000219,Standard,52,67.64,3517.28,9,8,79.4,13,3,4,0,0.0097,Low,29.72,1,Low,0.66,0
USER000220,Premium,41,123.22,5052.02,28,0,33.5,17,2,0,1,0.3441,Medium,22.85,1,Medium,42.4,0
USER000221,Basic,48,40.28,1933.44,7,1,21.5,6,2,3,0,0.0168,Low,10.95,0,Low,0.68,0
USER000222,Basic,2,44.85,89.7,3,6,117.0,14,4,2,1,0.6039,High,39.4,0,High,27.08,0
USER000223,Basic,21,46.39,974.19,42,8,73.0,17,4,4,0,0.0413,Low,38.5,0,Low,1.92,0
USER000224,Premium,5,88.67,443.35,25,1,5.0,8,1,4,1,0.85,Critical,11.9,0,Critical,75.37,0
USER000225,Basic,25,48.74,1218.5,43,7,52.2,7,3,7,0,0.2726,Medium,30.96,0,Medium,13.29,0
USER000226,Standard,17,67.51,1147.67,58,7,117.2,12,4,3,0,0.2811,Medium,55.56,1,Medium,18.98,0
USER000227,Premium,18,97.33,1751.94,9,4,73.5,4,3,5,1,0.3954,Medium,26.65,1,Medium,38.48,0
USER000228,Basic,69,32.63,2251.47,25,5,37.7,4,0,4,0,0.0905,Low,20.51,0,Low,2.95,0
USER000229,Basic,58,29.53,1712.74,47,3,92.0,14,2,1,1,0.1975,Low,45.3,0,Low,5.83,0
USER000230,Standard,42,78.29,3288.18,34,5,19.6,8,1,4,0,0.0827,Low,18.58,1,Low,6.47,0
USER000231,Basic,11,39.98,439.78,14,3,36.5,5,2,5,0,0.2293,Medium,17.35,0,Medium,9.17,0
USER000232,Standard,4,59.2,236.8,24,2,44.5,19,3,6,1,0.6839,High,25.75,0,High,40.49,0
