user_id,subscription_plan,tenure_months,monthly_charges,total_charges,num_logins_30d,support_tickets,avg_session_min,features_used,payment_delays,referrals_made,churned,churn_probability,risk_tier
USER000068,Basic,23,29.76,684.58,29,3,44.3,9,3,6,0,0.0283,Low
USER000069,Basic,42,42.81,1798.18,40,7,75.5,17,3,3,0,0.0498,Low
USER000070,Standard,11,68.52,753.71,10,8,58.4,11,0,4,0,0.065,Low
USER000071,Premium,57,102.92,5866.32,30,0,118.2,16,2,3,0,0.4798,Medium
USER000072,Basic,24,32.36,776.57,58,9,112.5,12,3,9,0,0.1171,Low
USER000073,Basic,8,42.54,340.33,15,2,64.1,17,3,3,0,0.1333,Low
USER000074,Basic,2,33.96,67.91,32,6,107.7,17,0,1,0,0.6398,High
USER000075,Premium,2,92.72,185.45,56,0,119.4,4,1,7,1,0.7237,High
USER000076,Standard,32,56.54,1809.43,48,3,49.2,15,1,5,0,0.0726,Low
USER000077,Premium,6,105.89,635.32,48,0,36.4,12,0,0,1,0.4548,Medium
USER000078,Premium,27,85.38,2305.2,15,2,72.0,13,2,5,0,0.5164,High
USER000079,Basic,25,38.12,952.89,18,5,47.7,5,1,5,1,0.2642,Medium
USER000080,Standard,27,72.57,1959.52,43,4,78.8,9,3,3,0,0.0382,Low
USER000081,Standard,44,65.71,2891.11,54,8,85.9,5,3,0,0,0.0567,Low
USER000082,Standard,62,72.85,4516.74,35,9,45.2,7,3,3,1,0.1912,Low
USER000083,Standard,51,72.04,3674.04,45,9,32.4,7,1,1,0,0.2748,Medium
USER000084,Premium,2,110.45,220.9,51,9,43.7,7,2,0,1,0.85,Critical
USER000085,Basic,20,30.53,610.67,14,5,31.5,11,2,2,0,0.2702,Medium
USER000086,Basic,47,40.16,1887.66,31,5,84.8,9,0,5,0,0.1283,Low
USER000087,Standard,37,62.91,2327.66,52,7,44.1,7,1,1,0,0.2543,Medium
USER000088,Basic,62,43.72,2710.81,36,7,23.1,18,3,5,0,0.2239,Medium
USER000089,Premium,6,91.69,550.13,42,1,66.8,9,4,9,0,0.4762,Medium
USER000090,Standard,16,49.87,798.0,30,1,104.7,11,2,2,0,0.2202,Medium
USER000091,Standard,38,74.93,2847.3,16,3,56.5,3,1,9,0,0.2717,Medium
USER000092,Basic,8,43.0,344.02,33,3,84.9,16,3,0,0,0.2775,Medium
USER000093,Basic,47,42.83,2013.09,6,8,118.4,12,3,6,0,0.1437,Low
USER000094,Basic,33,48.47,1599.61,51,3,37.6,2,2,6,0,0.0454,Low
USER000095,Basic,2,36.64,73.27,26,1,77.7,12,0,1,1,0.5569,High
USER000096,Basic,6,32.16,192.97,24,2,85.5,7,4,5,0,0.0088,Low
USER000097,Standard,56,64.1,3589.47,36,2,23.9,1,3,5,0,0.2599,Medium
USER000098,Basic,32,43.67,1397.28,22,5,97.3,7,3,1,0,0.0776,Low
USER000099,Standard,60,72.97,4378.32,49,9,70.7,18,2,7,1,0.2106,Medium
USER000100,Standard,5,61.92,309.61,6,6,3.3,6,4,6,1,0.6246,High
USER000101,Standard,7,74.64,522.47,11,4,37.6,17,3,1,0,0.1559,Low
USER000102,Standard,1,53.14,53.14,8,8,105.0,7,1,7,0,0.548,High
USER000103,Standard,18,72.64,1307.45,13,3,91.0,10,1,2,0,0.0091,Low
USER000104,Basic,65,40.63,2640.92,48,5,20.8,9,2,0,0,0.1551,Low
USER000105,Premium,59,87.68,5173.03,5,0,25.6,14,3,8,0,0.3761,Medium
USER000106,Basic,14,32.97,461.54,59,8,119.0,5,1,7,0,0.1367,Low
USER000107,Standard,12,57.59,691.06,52,1,19.9,2,2,4,0,0.1111,Low
USER000108,Basic,26,38.85,1010.12,9,8,77.8,11,0,2,0,0.0704,Low
USER000109,Standard,49,73.07,3580.61,3,5,101.1,10,4,6,1,0.2001,Medium
USER000110,Premium,23,101.94,2344.72,17,9,7.2,2,0,3,0,0.4031,Medium
USER000111,Standard,31,65.53,2031.3,19,9,,11,2,2,0,0.0991,Low
USER000112,Standard,34,53.88,1831.87,13,5,28.2,15,0,7,0,0.0554,Low
USER000113,Basic,67,44.75,2998.54,20,2,99.3,18,2,1,0,0.1571,Low
USER000114,Basic,62,47.31,2933.18,16,5,96.0,9,2,4,0,0.0759,Low
USER000115,Standard,12,68.94,827.32,24,7,77.2,2,4,4,0,0.0411,Low
USER000116,Standard,1,78.4,78.4,57,4,66.7,3,0,3,0,0.4844,Medium
USER000117,Standard,51,68.66,3501.6,47,6,83.6,9,1,1,0,0.1506,Low
USER000118,Premium,13,94.32,1226.17,50,5,53.0,7,4,3,1,0.3949,Medium
USER000119,Basic,31,45.44,1408.73,43,5,46.0,5,4,0,0,0.0944,Low
USER000120,Basic,53,48.48,2569.27,15,7,14.4,1,3,0,0,0.0181,Low
USER000121,Premium,32,126.07,4034.14,14,7,61.3,8,3,7,0,0.4202,Medium
USER000122,Standard,33,63.89,2108.24,6,5,88.2,2,3,9,1,0.2163,Medium
USER000123,Standard,11,70.39,774.26,2,4,89.2,15,4,8,0,0.2744,Medium
USER000124,Standard,66,65.6,4329.35,6,8,48.5,6,3,6,0,0.0236,Low
USER000125,Standard,27,55.74,1504.85,21,9,45.7,17,4,1,0,0.2727,Medium
USER000126,Standard,61,71.18,4341.72,38,1,95.3,9,2,4,0,0.1608,Low
USER000127,Standard,52,77.17,4012.87,41,7,35.7,8,3,3,0,0.0574,Low
USER000128,Basic,68,40.16,2730.64,15,5,106.1,9,1,2,0,0.1363,Low
USER000129,Standard,55,53.93,2966.18,20,7,13.7,19,2,7,0,0.1286,Low
USER000130,Basic,25,34.06,851.41,0,0,61.7,14,0,5,1,0.0396,Low
USER000131,Standard,68,58.02,3945.2,46,0,31.9,17,3,1,0,0.0809,Low
USER000132,Standard,41,72.99,2992.39,48,0,101.4,19,4,6,0,0.2061,Medium
USER000133,Standard,11,56.45,620.91,58,8,5.0,16,2,6,0,0.2785,Medium
USER000134,Standard,60,55.27,3315.94,31,6,31.6,18,0,1,0,0.23,Medium
USER000135,Basic,3,32.55,97.65,13,8,80.2,9,2,2,1,0.6377,High
USER000136,Basic,58,39.04,2264.45,7,5,60.4,1,2,1,0,0.2504,Medium
USER000137,Basic,62,29.25,1813.59,20,1,79.4,14,1,5,1,0.2506,Medium
USER000138,Premium,1,87.27,87.27,13,8,71.3,15,2,4,1,0.85,Critical
USER000139,Standard,59,74.6,4401.6,57,3,103.3,12,2,4,0,0.0047,Low
USER000140,Basic,52,39.51,2054.7,48,5,118.7,7,4,3,0,0.2501,Medium
USER000141,Standard,39,76.85,2997.03,46,1,61.4,11,1,9,0,0.0301,Low
USER000142,Premium,29,112.33,3257.67,57,7,67.9,13,1,9,0,0.3712,Medium
USER000143,Premium,7,127.01,889.05,12,1,45.0,13,2,2,1,0.3176,Medium
USER000144,Basic,15,40.41,606.1,33,6,20.4,12,4,4,0,0.1028,Low
USER000145,Premium,42,114.34,4802.26,30,8,94.1,1,3,9,1,0.391,Medium
USER000146,Basic,45,39.03,1756.14,49,2,71.1,7,4,3,0,0.1032,Low
USER000147,Basic,71,40.39,2867.34,8,5,72.9,7,4,8,0,0.1854,Low
USER000148,Standard,57,69.57,3965.3,8,9,34.2,12,4,4,0,0.1761,Low
USER000149,Basic,48,34.39,1650.54,47,7,111.1,13,0,1,1,0.1383,Low
USER000150,Standard,55,67.83,3730.8,45,3,6.0,11,2,5,0,0.0989,Low
USER000151,Basic,4,41.85,167.39,32,7,56.7,13,4,9,1,0.6989,High
USER000152,Basic,36,41.2,1483.33,49,0,30.8,8,1,2,0,0.247,Medium
USER000153,Premium,41,100.09,4103.74,27,1,89.4,2,0,4,0,0.3836,Medium
USER000154,Premium,48,122.68,5888.43,13,8,30.6,18,0,0,0,0.4751,Medium
USER000155,Standard,6,56.14,336.83,41,0,82.4,5,4,6,1,0.2625,Medium
USER000156,Premium,17,123.94,2107.0,51,9,56.0,17,2,5,1,0.4372,Medium
USER000157,Premium,42,105.06,4412.57,2,0,56.4,15,1,1,1,0.4874,Medium
USER000158,Standard,9,77.95,701.57,29,3,41.4,1,1,5,0,0.1793,Low
USER000159,Basic,34,44.89,1526.26,27,8,35.2,4,2,0,1,0.1889,Low
USER000160,Standard,35,57.43,2009.95,12,7,8.8,11,4,5,1,0.0148,Low
USER000161,Standard,1,58.94,58.94,20,6,21.6,19,1,5,0,0.6303,High
USER000162,Standard,44,76.78,3378.18,30,0,78.6,5,4,5,0,0.202,Medium
USER000163,Standard,19,74.36,1412.82,42,4,83.2,4,1,4,1,0.2486,Medium
USER000164,Standard,68,78.72,5352.85,19,8,60.8,12,2,3,1,0.2821,Medium
USER000165,Basic,15,34.25,513.77,24,8,75.3,13,4,6,1,0.2542,Medium
USER000166,Basic,9,39.92,359.32,28,0,117.8,13,2,6,0,0.2606,Medium
USER000167,Standard,13,67.94,883.16,31,5,42.0,8,1,8,0,0.0075,Low
USER000168,Premium,67,82.34,5516.7,41,7,118.4,17,0,5,1,0.4232,Medium
USER000169,Standard,64,71.07,4548.29,36,9,10.1,1,0,8,0,0.1369,Low
USER000170,Basic,43,30.96,1331.31,31,5,112.3,13,2,1,0,0.0171,Low
USER000171,Basic,22,42.39,932.56,53,5,74.6,4,2,6,0,0.1299,Low
USER000172,Standard,6,73.73,442.41,10,1,81.2,19,2,1,0,0.275,Medium
USER000173,Standard,43,70.34,3024.69,31,3,12.9,19,3,4,1,0.2239,Medium
USER000174,Standard,50,50.89,2544.28,6,6,10.3,13,3,6,0,0.0554,Low
USER000175,Basic,21,43.73,918.28,29,3,42.5,9,0,7,0,0.1588,Low
USER000176,Standard,53,54.18,2871.31,10,3,43.6,1,2,2,0,0.1116,Low
USER000177,Standard,27,71.38,1927.15,34,1,90.1,1,0,8,0,0.1929,Low
USER000178,Basic,39,44.69,1742.83,55,8,52.6,12,4,3,1,0.2471,Medium
USER000179,Basic,69,33.55,2315.28,28,5,92.4,11,3,8,1,0.1985,Low
USER000180,Standard,70,57.18,4002.56,5,7,0.1,7,1,2,0,0.089,Low
USER000181,Basic,65,42.28,2748.14,15,8,37.1,14,2,0,0,0.1425,Low
USER000182,Premium,9,106.89,962.04,14,3,98.5,11,2,4,0,0.3948,Medium
USER000183,Basic,64,29.45,1884.56,23,1,9.5,3,2,0,0,0.1562,Low
USER000184,Basic,53,29.92,1585.64,47,1,24.1,19,0,9,0,0.1058,Low
USER000185,Premium,57,101.28,5772.84,28,8,26.4,6,4,2,1,0.4668,Medium
USER000186,Basic,21,48.5,1018.42,35,5,43.5,11,4,9,0,0.1097,Low
USER000187,Standard,67,71.93,4819.55,12,9,39.5,16,1,8,1,0.2247,Medium
USER000188,Basic,16,42.77,684.28,39,1,100.0,3,0,9,0,0.13,Low
USER000189,Premium,4,104.17,416.67,48,2,37.0,13,0,4,1,0.85,Critical
USER000190,Basic,57,47.66,2716.85,47,8,73.5,19,2,5,0,0.1722,Low
USER000191,Basic,17,43.56,740.55,25,3,10.8,1,1,8,0,0.0328,Low
USER000192,Standard,3,69.44,208.31,46,7,46.0,5,2,7,1,0.6062,High
USER000193,Premium,54,85.19,4600.06,14,0,25.6,13,4,0,1,0.5023,High
USER000194,Standard,45,63.72,2867.48,19,5,18.2,16,4,2,0,0.2037,Medium
USER000195,Standard,57,77.42,4412.97,25,8,68.5,18,1,5,0,0.1124,Low
USER000196,Premium,37,102.79,3803.39,32,9,84.8,13,1,1,0,0.3085,Medium
USER000197,Standard,1,72.64,72.64,32,2,30.0,16,4,4,1,0.705,High
USER000198,Standard,1,59.21,59.21,6,0,104.4,8,1,3,0,0.5688,High
USER000199,Basic,25,0.0,1119.39,46,2,112.2,1,3,4,0,0.0586,Low
USER000200,Basic,22,30.26,665.64,45,1,34.4,1,1,5,0,0.0406,Low
USER000201,Basic,13,44.16,574.04,27,6,71.7,1,4,9,0,0.0849,Low
USER000202,Standard,58,77.17,4475.92,25,8,116.5,2,1,0,1,0.1079,Low
USER000203,Standard,44,71.81,3159.69,39,3,21.0,18,1,3,0,0.0891,Low
USER000204,Standard,7,75.09,525.65,35,7,98.6,2,3,1,0,0.1716,Low
USER000205,Standard,52,68.06,3538.97,18,9,61.6,19,3,2,0,0.1851,Low
USER000206,Premium,51,127.35,6494.65,39,3,72.0,11,3,8,0,0.3581,Medium
USER000207,Premium,45,111.92,5036.18,37,2,30.4,12,1,6,1,0.5293,High
USER000208,Premium,33,95.52,3152.29,8,0,34.8,18,3,9,0,0.4514,Medium
USER000209,Basic,58,36.58,2121.93,38,1,26.7,3,2,7,0,0.1616,Low
USER000210,Basic,11,46.61,512.66,19,3,53.5,5,0,6,0,0.0783,Low
USER000211,Standard,13,73.9,960.76,47,9,28.3,16,0,0,0,0.1416,Low
USER000212,Standard,31,53.05,1644.46,5,9,99.1,11,2,8,0,0.0185,Low
USER000213,Standard,34,51.36,1746.39,42,2,53.3,5,4,5,0,0.2793,Medium
USER000214,Premium,24,99.25,2382.09,1,5,39.4,15,3,8,0,0.2909,Medium
USER000215,Basic,60,42.48,2548.98,23,4,64.9,5,0,6,0,0.1614,Low
USER000216,Basic,42,48.37,2031.45,50,2,92.2,7,2,2,0,0.2557,Medium
USER000217,Premium,45,94.38,4247.32,45,4,66.4,9,4,9,0,0.517,High
USER000218,Standard,29,57.5,1667.6,12,9,10.2,18,4,0,1,0.1638,Low
USER000219,Standard,52,67.64,3517.41,9,8,79.4,13,3,4,0,0.0097,Low
USER000220,Premium,41,123.22,5051.89,28,0,33.5,17,2,0,1,0.3441,Medium
USER000221,Basic,48,40.28,1933.32,7,1,21.5,6,2,3,0,0.0168,Low
USER000222,Basic,2,44.85,89.7,3,6,117.0,14,4,2,1,0.6039,High
USER000223,Basic,21,46.39,974.18,42,8,73.0,17,4,4,0,0.0413,Low
USER000224,Premium,5,88.67,443.33,25,1,5.0,8,1,4,1,0.85,Critical
USER000225,Basic,25,48.74,1218.6,43,7,52.2,7,3,7,0,0.2726,Medium
USER000226,Standard,17,67.51,1147.67,58,7,117.2,12,4,3,0,0.2811,Medium
USER000227,Premium,18,97.33,1751.95,9,4,73.5,4,3,5,1,0.3954,Medium
USER000228,Basic,69,32.63,2251.64,25,5,37.7,4,0,4,0,0.0905,Low
USER000229,Basic,58,29.53,1712.92,47,3,92.0,14,2,1,1,0.1975,Low
USER000230,Standard,42,78.29,3288.15,34,5,19.6,8,1,4,0,0.0827,Low
USER000231,Basic,11,39.98,439.81,14,3,36.5,5,2,5,0,0.2293,Medium
USER000232,Standard,4,59.2,236.79,24,2,44.5,19,3,6,1,0.6839,High
USER000233,Standard,59,62.9,3711.11,4,8,68.8,16,3,4,1,0.2625,Medium
USER000234,Basic,55,31.32,1722.68,28,4,100.1,11,0,1,0,0.1943,Low
USER000235,Premium,61,128.15,7817.25,12,9,6.6,7,2,4,0,0.3155,Medium
USER000236,Premium,18,112.22,2019.94,52,9,79.5,13,0,6,0,0.402,Medium
USER000237,Standard,19,63.17,1200.25,15,9,62.1,16,4,5,0,0.1122,Low
USER000238,Standard,15,64.55,968.25,11,6,56.1,19,1,1,0,0.0286,Low
USER000239,Premium,20,98.14,1962.85,49,3,24.2,17,1,4,1,0.5518,High
USER000240,Premium,25,107.77,2694.21,37,2,70.2,10,0,6,0,0.3487,Medium
USER000241,Premium,28,119.45,3344.63,35,1,72.1,12,2,6,1,0.3045,Medium
USER000242,Standard,13,49.24,640.12,40,9,31.3,7,4,2,0,0.0264,Low
USER000243,Standard,34,58.82,1999.77,4,4,90.9,7,1,3,0,0.0931,Low
USER000244,Premium,40,87.8,3512.18,38,9,92.7,5,1,9,1,0.4661,Medium
USER000245,Basic,9,30.84,277.54,48,4,48.6,11,4,3,0,0.1676,Low
USER000246,Basic,16,40.72,651.59,42,2,9.0,3,2,3,0,0.157,Low
USER000247,Basic,17,29.25,497.3,9,9,56.8,5,1,1,1,0.2742,Medium
USER000248,Standard,50,73.04,3652.21,9,3,103.0,2,1,9,0,0.0995,Low
USER000249,Standard,58,54.4,3155.11,16,4,73.6,14,4,4,0,0.2219,Medium
USER000250,Basic,48,38.83,1863.87,13,2,83.8,4,2,1,0,0.0203,Low
USER000251,Basic,53,42.14,2233.42,9,5,114.6,7,0,0,0,0.0181,Low
USER000252,Standard,24,65.89,1581.41,33,8,117.2,17,2,8,1,0.1131,Low
USER000253,Premium,62,95.6,5927.47,30,4,43.3,18,2,3,0,0.4502,Medium
USER000254,Premium,70,122.42,8569.36,35,1,0.1,8,4,0,1,0.5458,High
USER000255,Basic,44,47.35,2083.51,24,5,35.5,15,4,0,0,0.2525,Medium
USER000256,Standard,65,51.84,3369.41,53,7,118.2,16,3,2,0,0.1839,Low
USER000257,Standard,43,50.35,2165.22,56,8,30.8,5,1,2,0,0.2241,Medium
USER000258,Standard,32,59.32,1898.36,14,7,109.2,19,4,4,0,0.2382,Medium
USER000259,Standard,69,71.63,4942.51,32,8,82.8,3,1,6,0,0.0531,Low
USER000260,Premium,31,123.95,3842.31,57,3,116.2,8,2,7,0,0.4756,Medium
USER000261,Basic,55,31.38,1725.94,10,6,78.4,1,4,7,1,0.2206,Medium
USER000262,Standard,38,76.33,2900.72,25,3,4.3,8,0,2,1,0.257,Medium
USER000263,Standard,3,75.71,227.14,39,4,100.0,2,1,1,1,0.5224,High
USER000264,Basic,62,33.9,2101.99,33,2,31.1,2,3,7,1,0.2572,Medium
USER000265,Standard,56,68.22,3820.06,39,2,93.9,19,2,3,0,0.2436,Medium
USER000266,Basic,71,43.5,3088.46,40,6,75.9,15,1,9,0,0.047,Low
USER000267,Basic,19,31.6,600.43,44,3,14.7,4,0,7,0,0.0594,Low
USER000268,Basic,55,47.65,2620.57,25,6,53.3,9,1,0,0,0.1794,Low
USER000269,Basic,33,43.2,1425.68,49,7,94.7,19,2,4,0,0.0183,Low
USER000270,Premium,4,100.78,403.12,37,9,115.6,18,1,3,1,0.85,Critical
USER000271,Premium,18,104.49,1880.8,22,3,29.1,4,0,6,0,0.5083,High
USER000272,Basic,54,43.39,2342.88,36,8,64.1,15,2,9,0,0.1324,Low
USER000273,Premium,29,80.68,2339.59,21,2,91.2,6,1,9,0,0.4524,Medium
USER000274,Basic,21,38.25,803.15,24,5,43.4,10,0,8,0,0.186,Low
USER000275,Basic,11,43.32,476.51,36,7,55.7,13,3,0,1,0.0894,Low
USER000276,Standard,23,75.61,1739.0,44,2,37.0,7,1,2,0,0.2723,Medium
USER000277,Basic,36,43.21,1555.56,2,8,52.9,12,2,9,0,0.2785,Medium
USER000278,Standard,4,69.24,276.95,50,9,47.0,8,2,7,0,0.5624,High
USER000279,Standard,8,58.75,469.96,50,9,114.7,7,1,3,0,0.2559,Medium
USER000280,Standard,47,74.36,3494.83,21,9,,9,4,9,0,0.0625,Low
USER000281,Standard,65,76.57,4976.77,46,4,79.8,6,3,8,0,0.0258,Low
USER000282,Premium,53,89.41,4738.87,16,4,66.1,7,0,7,1,0.312,Medium
USER000283,Standard,68,57.73,3925.64,2,7,119.8,6,2,9,0,0.0299,Low
USER000284,Premium,52,107.73,5602.15,14,6,97.5,16,2,1,0,0.308,Medium
USER000285,Standard,13,65.44,850.69,4,5,2.0,4,0,3,0,0.2568,Medium
USER000286,Standard,25,51.06,1276.48,54,6,38.0,3,0,6,0,0.0055,Low
USER000287,Basic,30,0.0,1275.28,13,4,98.6,6,0,6,0,0.051,Low
USER000288,Standard,71,65.86,4676.26,29,8,,2,0,5,0,0.2657,Medium
USER000289,Premium,15,80.31,1204.67,35,5,69.8,8,0,8,0,0.3301,Medium
USER000290,Standard,51,78.1,3983.04,43,5,70.6,16,4,1,0,0.1838,Low
USER000291,Premium,24,81.71,1960.98,42,0,115.9,12,0,2,0,0.4186,Medium
USER000292,Standard,58,52.12,3023.21,53,7,,15,4,1,1,0.1894,Low
USER000293,Basic,15,39.96,599.41,39,0,25.6,8,1,4,0,0.1163,Low
USER000294,Basic,53,47.37,2510.84,33,9,99.4,7,2,1,0,0.1162,Low
USER000295,Basic,67,42.25,2831.05,1,0,116.6,5,4,9,0,0.0397,Low
USER000296,Standard,15,70.72,1060.81,29,2,97.3,1,0,4,0,0.0243,Low
USER000297,Standard,10,75.73,757.33,6,7,41.9,11,3,9,0,0.2343,Medium
USER000298,Standard,13,53.02,689.27,48,2,15.0,8,1,8,0,0.2686,Medium
USER000299,Basic,70,37.02,2591.24,8,3,54.9,8,1,1,1,0.2664,Medium
USER000300,Standard,47,63.75,2996.04,49,3,82.6,11,4,2,0,0.2468,Medium
USER000301,Basic,11,39.34,432.73,40,5,,15,4,5,0,0.0907,Low
USER000302,Premium,44,88.08,3875.36,1,7,113.2,17,0,7,1,0.3727,Medium
USER000303,Basic,4,42.16,168.64,3,1,107.4,13,3,3,0,0.6183,High
USER000304,Premium,1,117.57,117.57,46,4,9.5,7,2,6,1,0.8289,Critical
USER000305,Standard,11,68.3,751.25,17,4,76.3,9,1,8,0,0.0785,Low
USER000306,Basic,65,43.02,2796.01,8,1,78.5,17,2,5,0,0.0624,Low
USER000307,Premium,51,123.22,6284.45,24,6,62.0,19,1,6,1,0.4746,Medium
USER000308,Basic,7,47.34,331.37,42,7,93.9,17,0,7,0,0.1829,Low
USER000309,Standard,40,64.65,2585.83,47,2,22.3,6,1,7,0,0.0413,Low
USER000310,Basic,3,45.46,136.37,40,6,21.5,16,3,9,1,0.6442,High
USER000311,Premium,40,109.72,4388.64,32,4,40.1,11,1,2,0,0.398,Medium
USER000312,Basic,27,31.65,854.49,34,5,81.9,15,1,0,0,0.1795,Low
USER000313,Premium,48,106.76,5124.33,50,3,4.7,7,1,6,0,0.3305,Medium
USER000314,Basic,40,37.55,1502.2,6,8,2.9,10,3,8,0,0.194,Low
USER000315,Basic,65,35.91,2334.45,51,3,84.8,15,2,3,0,0.2719,Medium
